Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Interpellation betreffend Zonen für preiswertes Wohnen,Interpellation,Beantwortet,3. Januar 2011,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Postulat betreffend Änderung Bewilligungspraxis Mobilfunkantennen der Stadt Wädenswil,Postulat,Abgeschrieben,20. Mai 2019,"[' Minutella Angelo', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)\n Pierre Rappazzo (Erstunterzeichner/in)\n Karin Signer (Mitunterzeichner/in)', '', '', '']","['Minutella Angelo', 'Rita Hug', 'Claudia Bühlmann', 'Pierre Rappazzo', 'Karin Signer']"
Schriftliche Anfrage betreffend Verkehrssituation Hintere Rüti,Kleine Anfrage,Beantwortet,3. Juli 2009,['CVP-Fraktion'],['CVP-Fraktion']
Postulat betreffend Strom ohne Atom,Postulat,Beantwortet,24. März 2011,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Interpellation betreffend Aufwertung Seegüetli,Interpellation,Erledigt,21. November 2016,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
Motion zum Schutz des Wändeswiler Baumbestands,Motion,Beantwortet,22. August 2011,"[' Erni Jonas', '', 'Corina Bürgi, Migmar Dhakyel, Willy Rüegg, Thomas Hartmann\n Daniel Tanner (keine Funktion)', '']","['Erni Jonas', 'Corina Bürgi', 'Migmar Dhakyel', 'Willy Rüegg', 'Thomas Hartmann', 'Daniel Tanner']"
"Schriftliche Anfrage betreffend Sachbeschädigungen, Schmierereien, Littering",Kleine Anfrage,Beantwortet,27. Juli 2012,"[' Furrer Astrid', '', 'Peter Dolder, Thomas Bürge\n Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)', '', '']","['Astrid Furrer', 'Peter Dolder', 'Thomas Bürge', 'Walter Münch', 'Walter Münch']"
Postulat betreffend verdichtetes Bauen in der Wohnzone,Postulat,Rückzug,30. Juli 2012,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']"
Schriftliche Anfrage betreffend Velodiebstähle in Wädenswil,Anfrage,Beantwortet,21. November 2016,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
Schriftliche Anfrage betreffend finanzielle Folgen der neuen Spitalfinanzierung für Wädenswil,Kleine Anfrage,Beantwortet,2. September 2011,"[' Furrer Astrid', '', 'Peter Dolder, Gian-Fadri Gattiker, Thomas Bürge\n Walter Münch (keine Funktion)', '']","['Astrid Furrer', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Thomas Bürge', 'Walter Münch']"
Interpellation betreffend Wegzug BASF,Interpellation,Beantwortet,30. März 2011,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']"
Interpellation betreffend Steuern in der Stadt Wädenswil und Entwicklung der Sozialhilfeanfragen,Interpellation,Beantwortet,10. Juli 2009,['BFPW-Fraktion'],['BFPW-Fraktion']
Interpellation betreffend Biodiversität in Wädenswil,Interpellation,Erledigt,22. Mai 2019,"[' Utiger Joël', '', 'Volkan Dogu (Mitunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '', '']","['Utiger Joël', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']"
Schriftliche Anfrage betreffend der Umsetzung des Behinderten-Gleichstellungsgesetzes zur Anpassung der Bushaltestellen,Anfrage,Beantwortet,3. Juni 2015,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']"
Postulat betreffend Errichtung eines elektronischen Archivs bzw. einer Datenbank für parlamentarische Vorstösse,Postulat,Nicht überwiesen,14. Januar 2011,"[' Furrer Astrid', '', 'Peter Dolder, FDP\n Gian-Fadri Gattiker, FDP\n Thomas Bürge, FDP\n Walter Münch (keine Funktion)', '', '', '']","['Astrid Furrer', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Thomas Bürge', 'Walter Münch']"
Postulat betreffend Wädenswiler Studenten Jahresfest,Postulat,Beantwortet,1. Juni 2010,"[' Baer Charlotte', '', 'Fredy Haab\n Martin Lampert\n Jürg Wuhrmann (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Martin Lampert', 'Jürg Wuhrmann', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel']"
Schriftliche Anfrage betreffend Strassenwesen,Anfrage,Beantwortet,23. März 2017,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
"Weisung 7, vom 5. Dezember 2022, Volksinitiative ""Erhalt der Freizeitanlage Untermosen""",Volksinitiative,Rückzug,20. Dezember 2022,,
Interpellation zu den Dämmerungseinbrüchen,Interpellation,Erledigt,14. Oktober 2012,['Albert A. Stahel'],['Albert A. Stahel']
Schriftliche Anfrage betreffend Landkauf Rütihof,Anfrage,Beantwortet,7. Juni 2013,['Albert A. Stahel'],['Albert A. Stahel']
Postulat betreffend Biogas,Postulat,Beantwortet,9. Juli 2010,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Schriftliche Anfrage betreffend Verkehrsprobleme und Unfälle im Zusammenhang mit der Zufahrt zur Aldi-Filiale,Kleine Anfrage,Beantwortet,16. November 2009,['FDP-Fraktion'],['FDP-Fraktion']
Schriftliche Anfrage betreffend Fahrplanwechsel,Anfrage,Beantwortet,31. Mai 2013,['Albert A. Stahel'],['Albert A. Stahel']
Schriftliche Anfrage betreffend Seeuferweg-wie weiter?,Anfrage,Erledigt,25. Februar 2019,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Karin Signer', 'Judith Fürst']"
Schriftliche Anfrage zu der Diebstahl-Sicherheit in den Schulhäusern,Anfrage,Beantwortet,10. Dezember 2014,"['Pascal Rubin (Mitunterzeichner/in)\n Hanspeter Andreoli (Erstunterzeichner/in)', '']","['Pascal Rubin', 'Hanspeter Andreoli']"
Schriftliche Anfrage betreffend Strandbad Rietliau,Kleine Anfrage,Beantwortet,28. September 2012,['Albert A. Stahel'],['Albert A. Stahel']
Postulat betreffend regionale Zusammenlegung von Schiessanlagen,Postulat,Nicht überwiesen,16. Juni 2010,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger', 'Berti Stocker']"
"Postulat betreffend SolarPlus, Erhöhung der Solarquote",Postulat,Erledigt,30. Oktober 2022,"[' Fuchs Werner', ' Hauser Urs', ' Minutella Angelo', ' Reust Patrick', ' Roth Hans', ' Tanner Imfeld Monika', ' Willi Daniel', '', 'Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Edith Höhn (Mitunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '']","['Fuchs Werner', 'Hauser Urs', 'Minutella Angelo', 'Reust Patrick', 'Roth Hans', 'Tanner Imfeld Monika', 'Willi Daniel', 'Karin Signer', 'Judith Fürst', 'Edith Höhn', 'Gabi Bachmann']"
Interpellation zur Aufhebung der Bushaltestelle Waisenhausstrasse,Interpellation,Erledigt,8. Dezember 2021,"[' Willi Daniel', ' Roth Hans', '', 'Christian Gross (Mitunterzeichner/in)\n Katarina Oehlin (Mitunterzeichner/in)\n Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Edith Höhn (Mitunterzeichner/in)', '', '', '', '']","['Willi Daniel', 'Roth Hans', 'Christian Gross', 'Katarina Oehlin', 'Karin Signer', 'Judith Fürst', 'Edith Höhn']"
Interpellation betreffend Erschliessung der Hochschule Wädenswil (ZHAW) mit dem öffentlichen Verkehr und der Realisierung eines zusätzlichen SOB-Bahnhofs beim Campus Reidbach,Interpellation,Beantwortet,30. Januar 2011,[' Erni Jonas'],['Erni Jonas']
Interpellation betreffend Mindereinnahmen durch kantonale/eidgenössische Gesetze,Interpellation,Erledigt,25. Februar 2015,"['Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Erstunterzeichner/in)', '', '', '', '']","['Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Edith Brunner', 'Christian Gross']"
Postulat betreffend Reduktion der Hundesteuer auf Hofhunde,Postulat,Rückzug,24. Mai 2010,"[' Baer Charlotte', '', 'Fredy Haab\n Martin Lampert\n Jürg Wuhrmann (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Martin Lampert', 'Jürg Wuhrmann', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel']"
Postulat betreffend Velonetz Wädenswil,Postulat,Nicht überwiesen,10. Dezember 2007,['GP-Fraktion'],['GP-Fraktion']
Posutlat betreffend Energiestadt Gold,Postulat,Beantwortet,8. April 2011,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Interpellation betreffend Spitalfusion Bezirk Horgen,Interpellation,Beantwortet,11. August 2009,['SVP-Fraktion'],['SVP-Fraktion']
Interpellation betreffend Sicherstellung der Ordnung und Nachtruhe,Interpellation,Beantwortet,2. Oktober 2011,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel']
"Postulat betreffend Werke-Einzelkonto ""Beitrag an die politische Gemeinde""",Postulat,Abgeschrieben,3. September 2012,"[' Erni Jonas', ' Stucki Adrian']","['Erni Jonas', 'Stucki Adrian']"
Postulat betreffend Beitritt der Stadt Wädenswil zur Bauteilvermittlung Zürichsee,Postulat,Abgeschrieben,22. Februar 2018,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
Schriftliche Anfrage betreffend Einsatz von Siedlungs- und technischen Wohnassistenten,Anfrage,Beantwortet,16. Februar 2018,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']"
Interpellation betreffend Mundart im Kindergarten,Interpellation,Beantwortet,27. August 2012,['Albert A. Stahel'],['Albert A. Stahel']
Postulat betreffend kundenorientierte Öffnungszeiten des Strandbads Rietliau und der Brettlibadi,Postulat,Nicht überwiesen,28. September 2011,"['Kuno Spirig\n Heinz Wiher\n Rahel Sonderegger (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Kuno Spirig', 'Heinz Wiher', 'Rahel Sonderegger', 'Monika Greter']"
Schriftliche Anfrage betreffend Spitalfusion Bezirk Horgen,Kleine Anfrage,Beantwortet,23. Juli 2009,['Thomas Largiadèr (Verfasser/in)'],['Thomas Largiadèr']
Schriftliche Anfrage betreffend Betreuungsangebot der Primarschule,Kleine Anfrage,Beantwortet,8. April 2011,"[' Erni Jonas', '', 'Corina Bürgi, Migmar Dhakyel, Willy Rüegg, Thomas Hartmann\n Daniel Tanner (keine Funktion)', '']","['Erni Jonas', 'Corina Bürgi', 'Migmar Dhakyel', 'Willy Rüegg', 'Thomas Hartmann', 'Daniel Tanner']"
Schriftliche Anfrage betreffend Ansiedlung juristischer Personen,Kleine Anfrage,Beantwortet,8. Januar 2008,[' Furrer Astrid'],['Astrid Furrer']
Schriftliche Anfrage betreffend Hochwasserschutz neue Bibliothek,Anfrage,Beantwortet,26. Mai 2010,"['Tobias Mani\n Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger', 'Berti Stocker']"
Postulat betreffend Fluktuation bei der Polizei Wädenswil,Postulat,Nicht überwiesen,24. Januar 2011,"[' Baer Charlotte', '', 'Fredy Haab, SVP\n Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli']"
Postulat betreffend Verbesserung der Informationen für Seniorinnen und Senioren,Postulat,Erledigt,13. Februar 2015,"['Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Erstunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)', '', '', '', '', '']","['Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross']"
Postulat betreffend PV-Contracting,Postulat,In Bearbeitung,19. Oktober 2022,"[' Fuchs Werner', ' Hauser Urs', ' Minutella Angelo', ' Reust Patrick', ' Roth Hans', ' Tanner Imfeld Monika', ' Willi Daniel', '', 'Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Edith Höhn (Erstunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '']","['Fuchs Werner', 'Hauser Urs', 'Minutella Angelo', 'Reust Patrick', 'Roth Hans', 'Tanner Imfeld Monika', 'Willi Daniel', 'Karin Signer', 'Judith Fürst', 'Edith Höhn', 'Gabi Bachmann']"
Postulat betreffend Sportanlagen,Postulat,Pendent Legislative,11. Januar 2022,"[' Utiger Joël', ' Gall Ursula', '', 'Ulrich Eckl (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '']","['Utiger Joël', 'Gall Ursula', 'Ulrich Eckl', 'Lukas Wiederkehr']"
Postulat betreffend flächendeckende Einführung von NPM der Wädenswiler Verwaltung,Postulat,Beantwortet,15. Juni 2010,['Geschäfts- und Rechnungsprüfungskommission'],"['Geschäfts-, Rechnungsprüfungskommission']"
Schriftliche Anfrage zur Modernisierung des Gemeinderatssaals in Wädenswil,Anfrage,Beantwortet,10. Dezember 2014,"['Pascal Rubin (Erstunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '']","['Pascal Rubin', 'Hanspeter Andreoli']"
"Schriftliche Anfrage betreffend ""Energiebuchhaltung stadteigene Gebäude""",Anfrage,Erledigt,12. März 2019,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']"
Postulat betreffend obere Bergstrasse: Schutz für Fussgänger und Velofahrer,Postulat,Erledigt,30. Mai 2013,"[' Erni Jonas', ' Stucki Adrian', '', 'Heinz Wiher\n Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Simon Kägi (keine Funktion)\n Berti Stocker (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)\n Rita Hug (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Erni Jonas', 'Stucki Adrian', 'Heinz Wiher', 'Daniel Tanner', 'Thomas Rom', 'Simon Kägi', 'Berti Stocker', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross', 'Rita Hug', 'Sandy Bossert']"
Interpellation betreffend Konzept für Anträge um Unterstützung durch die Stadt,Interpellation,Beantwortet,5. Oktober 2012,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']"
Interpellation betreffend Velotransporte im ZVV-Bus,Interpellation,Beantwortet,14. Oktober 2012,['Albert A. Stahel'],['Albert A. Stahel']
Postulat betreffend Überprüfung der Besoldungsstruktur für die Stadtpolizei Wädenswil,Postulat,Erledigt,3. Juni 2013,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']"
Schriftliche Anfrage betreffend Leuchtturmrestaurant auf dem Seeplatz,Anfrage,Beantwortet,7. Juni 2010,"[' Furrer Astrid', '', 'Peter Dolder, FDP\n Gian-Fadri Gattiker, FDP\n Thomas Bürge, FDP\n Walter Münch (keine Funktion)', '', '', '']","['Astrid Furrer', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Thomas Bürge', 'Walter Münch']"
Postulat betreffend Notfall- und Kommunikationskonzept bei Cyber-Angriffen,Postulat,Pendent Legislative,3. November 2022,"[' Höhener Patrick', ' Bachmann Severin', ' Baer Charlotte', ' Bislin Martin', ' Cogliati Bruno', ' Frommherz Nico', ' Fuchs Werner', ' Gall Ursula', ' Hauser Urs', ' Hitz Roland', ' Koch Thomas', ' Kronauer Marco', ' Lüthi Beat', ' Minutella Angelo', ' Rasper Nicolas', ' Reiter Ulrich', ' Reust Patrick', ' Roth Hans', ' Rusterholz Marlies', ' Schafflützel Roman', ' Schüpbach Nadia ', ' Tanner Imfeld Monika', ' Utiger Joël', ' Wehrli Samuel', ' Willi Daniel', ' Zürrer André', '', 'Karin Signer (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)\n Edith Höhn (Mitunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '', '', '', '', '', '']","['Höhener Patrick', 'Bachmann Severin', 'Baer Charlotte', 'Bislin Martin', 'Cogliati Bruno', 'Frommherz Nico', 'Fuchs Werner', 'Gall Ursula', 'Hauser Urs', 'Hitz Roland', 'Koch Thomas', 'Kronauer Marco', 'Lüthi Beat', 'Minutella Angelo', 'Rasper Nicolas', 'Reiter Ulrich', 'Reust Patrick', 'Roth Hans', 'Rusterholz Marlies', 'Schafflützel Roman', 'Schüpbach Nadia', 'Tanner Imfeld Monika', 'Utiger Joël', 'Wehrli Samuel', 'Willi Daniel', 'Zürrer André', 'Karin Signer', 'Ernst Grand', 'Judith Fürst', 'Hanspeter Andreoli', 'Sandy Bossert', 'Lukas Wiederkehr', 'Christian Nufer', 'Edith Höhn', 'Gabi Bachmann']"
Interpellation betreffend Erhalt der Primar- und Mittelstufe im Wädenswiler Berg,Interpellation,Erledigt,22. März 2021,"[' Baer Charlotte', ' Kronauer Marco', ' Rasper Nicolas', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Erstunterzeichner/in)', '']","['Baer Charlotte', 'Kronauer Marco', 'Rasper Nicolas', 'Zürrer André', 'Roy Schärer', 'Sandy Bossert']"
Postulat betreffend Aufwandstabilisierung,Postulat,Beantwortet,14. Januar 2015,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (Mitunterzeichner/in)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']"
Postulat betreffend neuer Weihnachtsbeleuchtung,Postulat,Rückzug,17. Januar 2011,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Postulat betreffend Ermahnung der Hundehalter über ihre Pflichten,Postulat,Beantwortet,24. Mai 2010,"[' Baer Charlotte', '', 'Fredy Haab\n Martin Lampert\n Jürg Wuhrmann (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Martin Lampert', 'Jürg Wuhrmann', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel']"
Postulat betreffend Einführung eines bezahlten Vaterschaftsurlaubs,Postulat,Nicht überwiesen,6. November 2006,['Willy Rüegg'],['Willy Rüegg']
Interpellation betreffend Förderung der Biodiversität in Wädenswil,Interpellation,Beantwortet,3. Juni 2011,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Interpellation betreffend Verkauf Grundstück im Steinacher,Interpellation,Beantwortet,10. Juli 2009,['Heinz Wiher (Verfasser/in)'],['Heinz Wiher']
Schriftliche Anfrage betreffend Alkohol-Testkäufe,Kleine Anfrage,Beantwortet,20. Juni 2006,['EVP-Fraktion'],['EVP-Fraktion']
Schriftliche Anfrage betreffend Brücke über den Gulmenbach,Kleine Anfrage,Beantwortet,17. August 2012,['Pascal Rubin (keine Funktion)'],['Pascal Rubin']
Interpellation betreffend Seeuferweg,Interpellation,Beantwortet,6. Oktober 2011,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Interpellation betreffend Au als Hochschul- und Bildungsstandort,Interpellation,Beantwortet,14. Oktober 2011,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel']
Schriftliche Anfrage betreffend Sicherheit von Badenden und Booten,Kleine Anfrage,Beantwortet,24. August 2012,"[' Furrer Astrid', '', 'Peter Dolder, Thomas Bürge\n Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)', '', '']","['Astrid Furrer', 'Peter Dolder', 'Thomas Bürge', 'Walter Münch', 'Walter Münch']"
Motion zur Schaffung einer Ombudsstelle für alle städtischen Abeitlungen,Motion,Beantwortet,9. Juni 2006,"['Gernot Schreiber, EVP und Mitunterzeichnende']","['Gernot Schreiber', 'Matthias Haab', 'Tobias Mani', 'Berti Stocker', 'Thomas Hartmann']"
Interpellation betreffend Förderung des Wohnungsbaus in Wädenswil,Interpellation,Beantwortet,17. Juli 2009,['Willy Rüegg'],['Willy Rüegg']
Interpellation betreffend Stadtentwicklung,Interpellation,Beantwortet,6. Juni 2011,['Willy Rüegg'],['Willy Rüegg']
Postulat betreffend baugesetzlicher Bewilligung des Projekts Überdachung Busbahnhof Welle durch die Heimatschutzkommission des Kant. Zürich bzw. freiwillige Einholung deren Expertise,Postulat,Nicht überwiesen,22. Mai 2010,"['Kuno Spirig, GLP']",['Kuno Spirig']
Schriftliche Anfrage betreffend Integration von ausländischen Staatsangehörigen,Kleine Anfrage,Beantwortet,28. November 2006,['Aurèle Greter'],['Aurel Greter']
Schriftliche Anfrage zur Hauswartung in den Alterswohnungen Bin Rääbe,Anfrage,Beantwortet,29. Januar 2015,"['Rahel Sonderegger (keine Funktion)\n Christine Merseburger (keine Funktion)', '']","['Rahel Sonderegger', 'Christine Merseburger']"
