Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Neuer linksseitiger Sihluferweg mit Wegbeleuchtung,Motion,Erledigt,2008-08-17,['Fredi Morf (keine Funktion)'],['Fredi Morf']
"Bauvorhaben der Schule, befristetes Aufstellen von 11 Schulcontainern",Interpellation,Erledigt,2008-09-03,['Fredi Morf (keine Funktion)'],['Fredi Morf']
Busbahnhof Adliswil und Haltestellen,Interpellation,Beantwortet,2013-07-03,[' Acar Sait'],['Acar Sait']
Rechte und Pflichten der Stadt Adliswil gegenüber der Stiftung für Altersbauten (SABA),Interpellation,Beantwortet,2012-12-12,"[' Baldegger Harry', ' Frei Daniel']","['Baldegger Harry', 'Frei Daniel']"
Verhälntnis der Stadt Adliswil zu Privatschulen in Adliswil,Anfrage,Beantwortet,2010-01-28,['Davide Loss (Verfasser/in)'],['Davide Loss']
Baulandreserven in Adliswil,Interpellation,Erledigt,2015-03-05,['Mario F. Salomon (keine Funktion)'],['Mario F. Salomon']
Generationenübergreifendes Gemeinschaftszentrum GZ,Interpellation,Beantwortet,2017-08-24,['Walter Uebersax (Verfasser/in)'],['Walter Uebersax']
Mitteilung von Beschlüssen der Schulpflege,Postulat,Erledigt,2018-02-08,"[' Etemi Xhelajdin', 'Dr.  Liedtke Wolfgang', '', 'Davide Loss (Erstunterzeichner/in)']","['Etemi Xhelajdin', 'Liedtke Wolfgang', 'Davide Loss']"
Vervollständigung der Schulintegration,Motion,Abgeschrieben,2015-04-02,"[' Meier Theo', ' Senn Mario', '', 'Heidi Jucker (keine Funktion)']","['Meier Theo', 'Senn Mario', 'Heidi Jucker']"
Steuerpolitik der Stadt Adliswil,Interpellation,Beantwortet,2009-11-17,['Yannick Wettstein (keine Funktion)'],['Yannick Wettstein']
Aufhebung Schulbaurichtlinien,Interpellation,Beantwortet,2012-03-07,[' Senn Mario'],['Senn Mario']
Einführung von Biogas,Postulat,Nicht überwiesen,2013-11-06,"[' Fässler Thomas', '', 'Ueli Gräflein (keine Funktion)']","['Fässler Thomas', 'Ueli Gräflein']"
Ersatzlösung für die Anbindung des Quartier Sonnenberg an das öffentliche Verkehrsnetz,Postulat,Erledigt,2007-12-03,['Davide Loss (keine Funktion)'],['Davide Loss']
